CODE,Cat1,Cat2,Cat3,Cat4,Description,$,T,P,P1
A027,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,Not applicable,"Consultation in association with special visit to a hospital in- patient, long-term care in-patient or emergency department patient ",147.3,,,
A033,CONSULTATIONS AND VISITS,GENERAL SURGERY(03),GENERAL LISTINGS,Not applicable,Specific assessment,47.3,,,
A034,CONSULTATIONS AND VISITS,GENERAL SURGERY(03),GENERAL LISTINGS,Not applicable,Partial assessment,28.6,,,
A035,CONSULTATIONS AND VISITS,GENERAL SURGERY(03),GENERAL LISTINGS,Not applicable,Consultation,96.2,,,
A036,CONSULTATIONS AND VISITS,GENERAL SURGERY(03),GENERAL LISTINGS,Not applicable,Repeat consultation,64.1,,,
A043,CONSULTATIONS AND VISITS,NEUROSURGERY(04),GENERAL LISTINGS,Not applicable,Specific assessment,58.25,,,
A044,CONSULTATIONS AND VISITS,NEUROSURGERY(04),GENERAL LISTINGS,Not applicable,Partial assessment,30,,,
A045,CONSULTATIONS AND VISITS,NEUROSURGERY(04),GENERAL LISTINGS,Not applicable,Consultation,130.75,,,
A046,CONSULTATIONS AND VISITS,NEUROSURGERY(04),GENERAL LISTINGS,Not applicable,Repeat consultation,58.25,,,
A050,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Special community medicine consultation,Special community medicine consultation,144.75,,,
A051,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Comprehensive community medicine consultation,Complex medical specific re-assessment,70.9,,,
A053,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Comprehensive community medicine consultation,Medical specific assessment,79.85,,,
A054,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Comprehensive community medicine consultation,Medical specific re-assessment,61.25,,,
A055,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Not applicable,Consultation,125.6,,,
A056,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Comprehensive community medicine consultation,Repeat consultation,84.2,,,
A058,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Comprehensive community medicine consultation,Partial assessment,38.05,,,
A063,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY(06),GENERAL LISTINGS,Not applicable,Specific assessment,42.55,,,
A064,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY(06),GENERAL LISTINGS,Not applicable,Partial assessment,24.25,,,
A065,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY(06),GENERAL LISTINGS,Not applicable,Consultation,83.85,,,
A066,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY(06),GENERAL LISTINGS,Not applicable,Repeat consultation,51.7,,,
A070,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,Not applicable,"Consultation in association with special visit to a hospital in-patient, long-term care in-patient or emergency department patient",232.1,,,
A071,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,Not applicable,Complex medical specific re-assessment,91.9,,,
A073,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,Not applicable,Medical specific assessment,90.45,,,
A074,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,Not applicable,Medical specific re-assessment,72.9,,,
A075,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,Not applicable,Consultation,202.55,,,
A076,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,Not applicable,Repeat consultation,105.25,,,
A078,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,Not applicable,Partial assessment,45.3,,,
A083,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),GENERAL LISTINGS,Not applicable,Specific assessment,46.8,,,
A084,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),GENERAL LISTINGS,Not applicable,Partial assessment,29.9,,,
A085,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),GENERAL LISTINGS,Not applicable,Consultation,91.35,,,
A086,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),GENERAL LISTINGS,Not applicable,Repeat consultation,54,,,
A093,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),GENERAL LISTINGS,Not applicable,Specific assessment,46.4,,,
A094,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),GENERAL LISTINGS,Not applicable,Partial assessment,25.3,,,
A095,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),GENERAL LISTINGS,Not applicable,Consultation,94.3,,,
A096,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),GENERAL LISTINGS,Not applicable,Repeat consultation,62.65,,,
A100,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,General/Family physician emergency department assessment,General/Family physician emergency department assessment,76.9,,,
A101,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,GENERAL LISTINGS,Limited Virtual Care Services,Limited Virtual Care by Video,20,,,
A102,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,GENERAL LISTINGS,Limited Virtual Care Services,Limited Virtual Care by Telephone,15,,,
A110,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Periodic oculo-visual assessment,aged 19 years and below,48.9,,,
A111,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),GENERAL LISTINGS,Comprehensive critical care medicine consultation,Complex medical specific re-assessment,76.3,,,
A112,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Periodic oculo-visual assessment,aged 65 years and above,48.9,,,
A113,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Complex neuromuscular assessment,Complex neuromuscular assessment,93.95,,,
A114,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),GENERAL LISTINGS,Comprehensive critical care medicine consultation,Medical specific re-assessment,65.9,,,
A115,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Major  eye  examination,Major eye examination (see page A8),51.1,,,
A115,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Major eye examination,Major eye examination,51.1,,,
A116,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),GENERAL LISTINGS,Comprehensive critical care medicine consultation,Repeat consultation,108.95,,,
A118,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),GENERAL LISTINGS,Comprehensive critical care medicine consultation,Partial assessment,39.6,,,
A120,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,Not applicable,"Colonoscopy assessment, same day as colonoscopy",18.85,,,
A120,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,Comprehensive internal medicine consultation,"Colonoscopy assessment, same day as colonoscopy",18.85,,,
A130,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,Comprehensive internal medicine consultation,Comprehensive internal medicine consultation,310.45,,,
A131,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,Comprehensive internal medicine consultation,Complex medical specific re-assessment,70.9,,,
A133,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,Comprehensive internal medicine consultation,Medical specific assessment,81.55,,,
A134,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,Comprehensive internal medicine consultation,Medical specific re-assessment,61.25,,,
A135,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,Not applicable,Consultation,164.9,,,
A136,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,Comprehensive internal medicine consultation,Repeat consultation,105.25,,,
A138,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,Comprehensive internal medicine consultation,Partial assessment,38.05,,,
A150,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,Comprehensive endocrinology consultation,Comprehensive endocrinology consultation,310.45,,,
A151,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,Comprehensive endocrinology consultation,Complex medical specific re-assessment,74.8,,,
A153,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,Comprehensive endocrinology consultation,Medical specific assessment,84.6,,,
A154,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,Comprehensive endocrinology consultation,Medical specific re-assessment,62.85,,,
A155,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,Not applicable,Consultation,165.3,,,
A156,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,Comprehensive endocrinology consultation,Repeat consultation,105.25,,,
A158,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,Comprehensive endocrinology consultation,Partial assessment,39.1,,,
A160,CONSULTATIONS AND VISITS,NEPHROLOGY(16),GENERAL LISTINGS,Comprehensive nephrology consultation,Comprehensive nephrology consultation,310.45,,,
A161,CONSULTATIONS AND VISITS,NEPHROLOGY(16),GENERAL LISTINGS,Comprehensive nephrology consultation,Complex medical specific re-assessment,71.85,,,
A163,CONSULTATIONS AND VISITS,NEPHROLOGY(16),GENERAL LISTINGS,Comprehensive nephrology consultation,Medical specific assessment,80.95,,,
A164,CONSULTATIONS AND VISITS,NEPHROLOGY(16),GENERAL LISTINGS,Comprehensive nephrology consultation,Medical specific re-assessment,62.1,,,
A165,CONSULTATIONS AND VISITS,NEPHROLOGY(16),GENERAL LISTINGS,Not applicable,Consultation,162.9,,,
A166,CONSULTATIONS AND VISITS,NEPHROLOGY(16),GENERAL LISTINGS,Comprehensive nephrology consultation,Repeat consultation,105.25,,,
A168,CONSULTATIONS AND VISITS,NEPHROLOGY(16),GENERAL LISTINGS,Comprehensive nephrology consultation,Partial assessment,38.55,,,
A173,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),GENERAL LISTINGS,Not applicable,Specific assessment,44.4,,,
A174,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),GENERAL LISTINGS,Not applicable,Partial assessment,24.1,,,
A175,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),GENERAL LISTINGS,Not applicable,Consultation,107.45,,,
A176,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),GENERAL LISTINGS,Not applicable,Repeat consultation,60,,,
A180,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Special neurology consultation,Special neurology consultation,310.45,,,
A181,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Extended special neurology consultation,Complex medical specific re-assessment,75.2,,,
A183,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Extended special neurology consultation,Medical specific assessment,82.4,,,
A184,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Extended special neurology consultation,Medical specific re-assessment,64.95,,,
A185,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Not applicable,Consultation,184.4,,,
A186,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Extended special neurology consultation,Repeat consultation,87.7,,,
A188,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Extended special neurology consultation,Partial assessment,39.4,,,
A190,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Special psychiatric consultation,Special psychiatric consultation,310.45,,,
A191,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Consultative interview on behalf of disturbed patient (including report),"consultative interview with caregiver(s) of a patient at least 65 years of age, or a patient less than 65 years of age with a diagnosis of dementia",237.45,,,
A192,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Consultative interview on behalf of disturbed patient (including report),"consultative interview with patient at least 65 years of age, or a patient less than 65 years of age with a diagnosis of dementia",237.45,,,
A193,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Neurodevelopmental consultation,Specific assessment,86.35,,,
A194,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Neurodevelopmental consultation,Partial assessment,41.15,,,
A195,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Not applicable,Consultation,222.5,,,
A196,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Neurodevelopmental consultation,Repeat consultation,105.25,,,
A197,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Consultative interview on behalf of disturbed patient (including report),consultative interview with parent(s) or patient representative(s) of patient less than age 22,237.45,,,
A198,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Consultative interview on behalf of disturbed patient (including report),consultative interview with patient less than age 22,237.45,,,
A203,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),GENERAL LISTINGS,Not applicable,Specific assessment*,52.15,,,
A204,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),GENERAL LISTINGS,Not applicable,Partial assessment,33.7,,,
A205,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),GENERAL LISTINGS,Not applicable,Consultation*,111.7,,,
A206,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),GENERAL LISTINGS,Not applicable,Repeat consultation*,59.45,,,
A210,CONSULTATIONS AND VISITS,ANAESTHESIA(01),SPECIAL ANAESTHETIC CONSULTATION,SPECIAL ANAESTHETIC CONSULTATION,Special anaesthetic consultation,163.2,,,
A215,CONSULTATIONS AND VISITS,ANAESTHESIA(01),SPECIAL ANAESTHETIC CONSULTATION,SPECIAL ANAESTHETIC CONSULTATION,Limited consultation for acute pain management in association with special visit to hospital in-patient,69.75,,,
A220,CONSULTATIONS AND VISITS,GENETICS(22),GENERAL LISTINGS,Not applicable,Special genetic consultation*,310.45,,,
A221,CONSULTATIONS AND VISITS,GENETICS(22),GENERAL LISTINGS,Extended special genetic consultation,Genetic minor assessment,38.05,,,
A223,CONSULTATIONS AND VISITS,GENETICS(22),GENERAL LISTINGS,Extended special genetic consultation,Extended special genetic consultation*,401.3,,,
A225,CONSULTATIONS AND VISITS,GENETICS(22),GENERAL LISTINGS,Not applicable,Consultation*,167.9,,,
A226,CONSULTATIONS AND VISITS,GENETICS(22),GENERAL LISTINGS,Extended special genetic consultation,Repeat consultation,105.25,,,
A230,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Orthoptic assessment,Orthoptic assessment,25,,,
A231,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Not applicable,Neuro-ophthalmology consultation,148.5,,,
A233,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Not applicable,Specific assessment,57.7,,,
A234,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Not applicable,Partial assessment,30.5,,,
A235,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Not applicable,Consultation,82.4,,,
A236,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Not applicable,Repeat consultation,45.85,,,
A237,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Periodic oculo-visual assessment,aged 19 years and below,56.6,,,
A239,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Periodic oculo-visual assessment,aged 65 years and above,56.6,,,
A243,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),GENERAL LISTINGS,Not applicable,Specific assessment,43.2,,,
A244,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),GENERAL LISTINGS,Not applicable,Partial assessment,27,,,
A245,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),GENERAL LISTINGS,Not applicable,Consultation,83.95,,,
A246,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),GENERAL LISTINGS,Not applicable,Repeat consultation,48.6,,,
A250,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Retinopathy of prematurity (ROP) assessment,Retinopathy of prematurity assessment,120,,,
A251,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Special ophthalmologic assessment,Special ophthalmologic assessment,120,,,
A252,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Initial vision rehabilitation assessment,Initial vision rehabilitation assessment,240,,,
A253,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Optometrist-requested assessment (ORA),Optometrist-Requested Assessment (ORA),82.4,,,
A254,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Follow-up vision rehabilitation assessment,Follow-up vision rehabilitation assessment,120,,,
A255,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,Comprehensive endocrinology consultation,Limited consultation,105.25,,,
A256,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),GENERAL LISTINGS,Special optometrist-requested assessment,Special optometrist-requested assessment,163.2,,,
A260,CONSULTATIONS AND VISITS,PAEDIATRICS(26),GENERAL LISTINGS,Special paediatric consultation,Special paediatric consultation,310.45,,,
A261,CONSULTATIONS AND VISITS,PAEDIATRICS(26),GENERAL LISTINGS,Prenatal consultation,Level 1 Paediatric assessment,21.5,,,
A262,CONSULTATIONS AND VISITS,PAEDIATRICS(26),GENERAL LISTINGS,Prenatal consultation,Level 2 Paediatric assessment,43.45,,,
A263,CONSULTATIONS AND VISITS,PAEDIATRICS(26),GENERAL LISTINGS,Prenatal consultation,Medical specific assessment,82.9,,,
A264,CONSULTATIONS AND VISITS,PAEDIATRICS(26),GENERAL LISTINGS,Prenatal consultation,Medical specific re-assessment,61.25,,,
A265,CONSULTATIONS AND VISITS,PAEDIATRICS(26),GENERAL LISTINGS,Not applicable,Consultation,181.45,,,
A266,CONSULTATIONS AND VISITS,PAEDIATRICS(26),GENERAL LISTINGS,Prenatal consultation,Repeat consultation,91.35,,,
A268,CONSULTATIONS AND VISITS,PAEDIATRICS(26),GENERAL LISTINGS,Prenatal consultation,Enhanced 18 month well baby visit (see General Preamble GP34),64.3,,,
A275,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),GENERAL LISTINGS,Comprehensive infectious disease consultation,Limited consultation,105.25,,,
A283,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,Not applicable,Medical specific assessment,82.5,,,
A284,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,Not applicable,Partial assessment,38.85,,,
A285,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,Not applicable,Consultation,163,,,
A286,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,Not applicable,Limited consultation,108.95,,,
A310,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),GENERAL LISTINGS,Comprehensive physical medicine and rehabilitation consultation,Medical specific re-assessment,67.8,,,
A311,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),GENERAL LISTINGS,Comprehensive physical medicine and rehabilitation consultation,Complex medical specific re-assessment,73.95,,,
A313,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),GENERAL LISTINGS,Comprehensive physical medicine and rehabilitation consultation,Medical specific assessment,77.2,,,
A315,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),GENERAL LISTINGS,Not applicable,Consultation,197.3,,,
A316,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),GENERAL LISTINGS,Comprehensive physical medicine and rehabilitation consultation,Repeat consultation,95.25,,,
A318,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),GENERAL LISTINGS,Comprehensive physical medicine and rehabilitation consultation,Partial assessment,39.7,,,
A325,CONSULTATIONS AND VISITS,GENETICS(22),GENERAL LISTINGS,Extended special genetic consultation,Limited consultation,105.25,,,
A330,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),GENERAL LISTINGS ,Radiology second opinion of CT or MRI Study,"Radiology second opinion of CT study, per study",89.5,,,
A331,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),GENERAL LISTINGS ,Minor assessment,Minor assessment,17.75,,,
A332,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),GENERAL LISTINGS ,Radiology second opinion of CT or MRI Study,"Radiology second opinion of MRI study, per study",199.7,,,
A335,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),GENERAL LISTINGS ,Consultation,Consultation,50,,,
A338,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),GENERAL LISTINGS ,Minor assessment,Minor assessment,17.75,,,
A340,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,Not applicable,Medical specific re-assessment,61.7,,,
A341,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,Not applicable,Complex medical specific re-assessment,71.4,,,
A343,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,Not applicable,Medical specific assessment,80.4,,,
A345,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,Not applicable,Consultation,158.05,,,
A346,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,Not applicable,Repeat consultation,102.9,,,
A348,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,Not applicable,Partial assessment,37.55,,,
A353,CONSULTATIONS AND VISITS,UROLOGY(35),GENERAL LISTINGS,Not applicable,Specific assessment*,46.8,,,
A354,CONSULTATIONS AND VISITS,UROLOGY(35),GENERAL LISTINGS,Not applicable,Partial assessment,27.8,,,
A355,CONSULTATIONS AND VISITS,UROLOGY(35),GENERAL LISTINGS,Not applicable,Consultation*,84.7,,,
A356,CONSULTATIONS AND VISITS,UROLOGY(35),GENERAL LISTINGS,Not applicable,Repeat consultation*,59,,,
A365,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),GENERAL LISTINGS ,Special interventional radiological consultation,Special interventional radiological consultation,223.2,,,
A375,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,Not applicable,Limited consultation,105.25,,,
A384,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Consultation and Management for Acute Cerebral Vascular Syndrome (ACVS),Not Applicable,200,,,
A385,CONSULTATIONS AND VISITS,NEUROLOGY(18),GENERAL LISTINGS ,Extended special neurology consultation,Limited consultation,87.7,,,
A395,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,Neurodevelopmental consultation,Limited consultation,105.25,,,
A400,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Comprehensive community medicine consultation,Comprehensive community medicine consultation,240.55,,,
A405,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,Comprehensive community medicine consultation,Limited consultation,84.2,,,
A411,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,Not applicable,Complex medical specific re-assessment,70.9,,,
A413,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,Not applicable,Medical specific assessment,80.35,,,
A414,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,Not applicable,Medical specific re-assessment,61.25,,,
A415,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,Not applicable,Consultation,157,,,
