Billing Code,Category,Sub Category,Sub Category 2,Description,Provider Fee,Assistant Fee,Specialist Fee,Anaesthetist fee,Non- Anaesthetist fee,,,,,,,,,,,,,,,,
A035,CONSULTATIONS AND VISITS,GENERAL SURGERY (03),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A036,CONSULTATIONS AND VISITS,GENERAL SURGERY (03),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A043,CONSULTATIONS AND VISITS,NEUROSURGERY (04),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A044,CONSULTATIONS AND VISITS,NEUROSURGERY (04),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A045,CONSULTATIONS AND VISITS,NEUROSURGERY (04),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A046,CONSULTATIONS AND VISITS,NEUROSURGERY (04),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A050,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),Special community medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A051,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),Comprehensive community medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A053,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),Comprehensive community medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A054,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),Comprehensive community medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A055,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),General Listings,,,,,,,,,,,,,,,,,,,,,,
A056,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),Comprehensive community medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A058,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),Comprehensive community medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A063,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY (06),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A064,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY (06),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A065,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY (06),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A066,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY (06),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A070,CONSULTATIONS AND VISITS,GERIATRICS (07),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A071,CONSULTATIONS AND VISITS,GERIATRICS (07),,,,,,,,,,,,,,,,,,,,,,,
A073,CONSULTATIONS AND VISITS,GERIATRICS (07),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A074,CONSULTATIONS AND VISITS,GERIATRICS (07),,,,,,,,,,,,,,,,,,,,,,,
A075,CONSULTATIONS AND VISITS,GERIATRICS (07),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A076,CONSULTATIONS AND VISITS,GERIATRICS (07),,,,,,,,,,,,,,,,,,,,,,,
A078,CONSULTATIONS AND VISITS,GERIATRICS (07),,,,,,,,,,,,,,,,,,,,,,,
A083,CONSULTATIONS AND VISITS,PLASTIC SURGERY (08),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A084,CONSULTATIONS AND VISITS,PLASTIC SURGERY (08),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A085,CONSULTATIONS AND VISITS,PLASTIC SURGERY (08),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A086,CONSULTATIONS AND VISITS,PLASTIC SURGERY (08),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A093,CONSULTATIONS AND VISITS,CARDIAC SURGERY (09),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A094,CONSULTATIONS AND VISITS,CARDIAC SURGERY (09),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A095,CONSULTATIONS AND VISITS,CARDIAC SURGERY (09),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A096,CONSULTATIONS AND VISITS,CARDIAC SURGERY (09),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A100,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),General/Family physician emergency department assessment,,,,,,,,,,,,,,,,,,,,,,
A101,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,Limited Virtual Care Services,,,,,,,,,,,,,,,,,,,,,,
A102,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,Limited Virtual Care Services,,,,,,,,,,,,,,,,,,,,,,
A110,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),Periodic oculo-visual assessment,,,,,,,,,,,,,,,,,,,,,,
A111,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE (11),Comprehensive critical care medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A112,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),Periodic oculo-visual assessment,,,,,,,,,,,,,,,,,,,,,,
A113,CONSULTATIONS AND VISITS,NEUROLOGY (18),Complex neuromuscular assessment,,,,,,,,,,,,,,,,,,,,,,
A114,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE (11),Comprehensive critical care medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A115,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),Major eye examination,,,,,,,,,,,,,,,,,,,,,,
A115,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Comprehensive critical care medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A116,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE (11),Comprehensive critical care medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A118,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE (11),Comprehensive critical care medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A120,CONSULTATIONS AND VISITS,GASTROENTEROLOGY (41),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A120,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A130,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A131,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A133,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A134,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A135,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A136,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A138,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A150,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM (15),Comprehensive endocrinology consultation,,,,,,,,,,,,,,,,,,,,,,
A151,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM (15),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A153,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM (15),Comprehensive endocrinology consultation,,,,,,,,,,,,,,,,,,,,,,
A154,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM (15),Comprehensive endocrinology consultation,,,,,,,,,,,,,,,,,,,,,,
A155,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM (15),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A156,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM (15),Comprehensive endocrinology consultation,,,,,,,,,,,,,,,,,,,,,,
A158,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM (15),Comprehensive endocrinology consultation,,,,,,,,,,,,,,,,,,,,,,
A160,CONSULTATIONS AND VISITS,NEPHROLOGY (16),Comprehensive nephrology consultation,,,,,,,,,,,,,,,,,,,,,,
A161,CONSULTATIONS AND VISITS,NEPHROLOGY (16),Comprehensive nephrology consultation,,,,,,,,,,,,,,,,,,,,,,
A163,CONSULTATIONS AND VISITS,NEPHROLOGY (16),Comprehensive nephrology consultation,,,,,,,,,,,,,,,,,,,,,,
A164,CONSULTATIONS AND VISITS,NEPHROLOGY (16),Comprehensive nephrology consultation,,,,,,,,,,,,,,,,,,,,,,
A165,CONSULTATIONS AND VISITS,NEPHROLOGY (16),Comprehensive nephrology consultation,,,,,,,,,,,,,,,,,,,,,,
A166,CONSULTATIONS AND VISITS,NEPHROLOGY (16),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A168,CONSULTATIONS AND VISITS,NEPHROLOGY (16),Comprehensive nephrology consultation,,,,,,,,,,,,,,,,,,,,,,
A173,CONSULTATIONS AND VISITS,VASCULAR SURGERY (17),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A174,CONSULTATIONS AND VISITS,VASCULAR SURGERY (17),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A175,CONSULTATIONS AND VISITS,VASCULAR SURGERY (17),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A176,CONSULTATIONS AND VISITS,VASCULAR SURGERY (17),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A180,CONSULTATIONS AND VISITS,NEUROLOGY (18),Special neurology consultation,,,,,,,,,,,,,,,,,,,,,,
A181,CONSULTATIONS AND VISITS,NEUROLOGY (18),Extended special neurology consultation,,,,,,,,,,,,,,,,,,,,,,
A183,CONSULTATIONS AND VISITS,NEUROLOGY (18),Extended special neurology consultation,,,,,,,,,,,,,,,,,,,,,,
A184,CONSULTATIONS AND VISITS,NEUROLOGY (18),Extended special neurology consultation,,,,,,,,,,,,,,,,,,,,,,
A185,CONSULTATIONS AND VISITS,NEUROLOGY (18),Extended special neurology consultation,,,,,,,,,,,,,,,,,,,,,,
A186,CONSULTATIONS AND VISITS,NEUROLOGY (18),Extended special neurology consultation,,,,,,,,,,,,,,,,,,,,,,
A188,CONSULTATIONS AND VISITS,NEUROLOGY (18),Extended special neurology consultation,,,,,,,,,,,,,,,,,,,,,,
A190,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Special psychiatric consultation,,,,,,,,,,,,,,,,,,,,,,
A191,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Consultative interview on behalf of disturbed patient (including report),,,,,,,,,,,,,,,,,,,,,,
A192,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Consultative interview on behalf of disturbed patient (including report),,,,,,,,,,,,,,,,,,,,,,
A193,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Neurodevelopmental consultation,,,,,,,,,,,,,,,,,,,,,,
A194,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Neurodevelopmental consultation,,,,,,,,,,,,,,,,,,,,,,
A195,CONSULTATIONS AND VISITS,PSYCHIATRY (19),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A196,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Neurodevelopmental consultation,,,,,,,,,,,,,,,,,,,,,,
A197,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Consultative interview on behalf of disturbed patient (including report),,,,,,,,,,,,,,,,,,,,,,
A198,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Consultative interview on behalf of disturbed patient (including report),,,,,,,,,,,,,,,,,,,,,,
A203,CONSULTATIONS AND VISITS,OBSTETRICS AND GYNAECOLOGY (20),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A204,CONSULTATIONS AND VISITS,OBSTETRICS AND GYNAECOLOGY (20),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A205,CONSULTATIONS AND VISITS,OBSTETRICS AND GYNAECOLOGY (20),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A206,CONSULTATIONS AND VISITS,OBSTETRICS AND GYNAECOLOGY (20),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A210,CONSULTATIONS AND VISITS,ANAESTHESIA (01),SPECIAL ANAESTHETIC CONSULTATION,,,,,,,,,,,,,,,,,,,,,,
A215,CONSULTATIONS AND VISITS,ANAESTHESIA (01),SPECIAL ANAESTHETIC CONSULTATION,,,,,,,,,,,,,,,,,,,,,,
A220,CONSULTATIONS AND VISITS,GENETICS (22),Special genetic consultation,,,,,,,,,,,,,,,,,,,,,,
A221,CONSULTATIONS AND VISITS,GENETICS (22),Extended special genetic consultation,,,,,,,,,,,,,,,,,,,,,,
A223,CONSULTATIONS AND VISITS,GENETICS (22),Extended special genetic consultation,,,,,,,,,,,,,,,,,,,,,,
A225,CONSULTATIONS AND VISITS,GENETICS (22),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A226,CONSULTATIONS AND VISITS,GENETICS (22),Extended special genetic consultation,,,,,,,,,,,,,,,,,,,,,,
A230,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Orthoptic assessment,,,,,,,,,,,,,,,,,,,,,,
A231,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,,,,,,,,,,,,,,,,,,,,
A233,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Subsequent visits,,,,,,,,,,,,,,,,,,,,,,
A234,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,,,,,,,,,,,,,,,,,,,,
A235,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,,,,,,,,,,,,,,,,,,,,
A236,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,,,,,,,,,,,,,,,,,,,,
A237,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Subsequent visits,,,,,,,,,,,,,,,,,,,,,,
A239,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Subsequent visits,,,,,,,,,,,,,,,,,,,,,,
A243,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY (24),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A244,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY (24),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A245,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY (24),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A246,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY (24),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A250,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Retinopathy of prematurity (ROP) assessment,,,,,,,,,,,,,,,,,,,,,,
A251,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Special ophthalmologic assessment,,,,,,,,,,,,,,,,,,,,,,
A252,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Initial vision rehabilitation assessment,,,,,,,,,,,,,,,,,,,,,,
A253,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Optometrist-requested assessment (ORA),,,,,,,,,,,,,,,,,,,,,,
A254,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Follow-up vision rehabilitation assessment,,,,,,,,,,,,,,,,,,,,,,
A255,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM (15),Comprehensive endocrinology consultation,,,,,,,,,,,,,,,,,,,,,,
A256,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),Special optometrist-requested assessment,,,,,,,,,,,,,,,,,,,,,,
A260,CONSULTATIONS AND VISITS,PAEDIATRICS (26),Special paediatric consultation,,,,,,,,,,,,,,,,,,,,,,
A261,CONSULTATIONS AND VISITS,PAEDIATRICS (26),Prenatal consultation,,,,,,,,,,,,,,,,,,,,,,
A262,CONSULTATIONS AND VISITS,PAEDIATRICS (26),Prenatal consultation,,,,,,,,,,,,,,,,,,,,,,
A263,CONSULTATIONS AND VISITS,PAEDIATRICS (26),Prenatal consultation,,,,,,,,,,,,,,,,,,,,,,
A264,CONSULTATIONS AND VISITS,PAEDIATRICS (26),Prenatal consultation,,,,,,,,,,,,,,,,,,,,,,
A265,CONSULTATIONS AND VISITS,PAEDIATRICS (26),Prenatal consultation,,,,,,,,,,,,,,,,,,,,,,
A266,CONSULTATIONS AND VISITS,PAEDIATRICS (26),Prenatal consultation,,,,,,,,,,,,,,,,,,,,,,
A268,CONSULTATIONS AND VISITS,PAEDIATRICS (26),Prenatal consultation,,,,,,,,,,,,,,,,,,,,,,
A275,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE (46),Comprehensive infectious disease consultation,,,,,,,,,,,,,,,,,,,,,,
A283,CONSULTATIONS AND VISITS,LABORATORY MEDICINE (28),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A284,CONSULTATIONS AND VISITS,LABORATORY MEDICINE (28),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A285,CONSULTATIONS AND VISITS,LABORATORY MEDICINE (28),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A286,CONSULTATIONS AND VISITS,LABORATORY MEDICINE (28),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A310,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),Comprehensive physical medicine and rehabilitation consultation,,,,,,,,,,,,,,,,,,,,,,
A311,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),Comprehensive physical medicine and rehabilitation consultation,,,,,,,,,,,,,,,,,,,,,,
A313,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),Comprehensive physical medicine and rehabilitation consultation,,,,,,,,,,,,,,,,,,,,,,
A315,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),Comprehensive physical medicine and rehabilitation consultation,,,,,,,,,,,,,,,,,,,,,,
A316,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),Comprehensive physical medicine and rehabilitation consultation,,,,,,,,,,,,,,,,,,,,,,
A318,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),Comprehensive physical medicine and rehabilitation consultation,,,,,,,,,,,,,,,,,,,,,,
A325,CONSULTATIONS AND VISITS,GENETICS (22),Extended special genetic consultation,,,,,,,,,,,,,,,,,,,,,,
A330,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY (33),Radiology second opinion of CT or MRI Study,,,,,,,,,,,,,,,,,,,,,,
A331,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY (33),Minor assessment,,,,,,,,,,,,,,,,,,,,,,
A332,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY (33),Radiology second opinion of CT or MRI Study,,,,,,,,,,,,,,,,,,,,,,
A335,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY (33),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,,,,,,,,,,,,,,,,,,,,
A338,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY (33),Minor assessment,,,,,,,,,,,,,,,,,,,,,,
A340,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY (34),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A341,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY (34),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A343,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY (34),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A345,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY (34),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A346,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY (34),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A348,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY (34),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A353,CONSULTATIONS AND VISITS,UROLOGY (35),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A354,CONSULTATIONS AND VISITS,UROLOGY (35),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A355,CONSULTATIONS AND VISITS,UROLOGY (35),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A356,CONSULTATIONS AND VISITS,UROLOGY (35),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A365,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY (33),Special interventional radiological consultation,,,,,,,,,,,,,,,,,,,,,,
A375,CONSULTATIONS AND VISITS,GERIATRICS (07),Consultation and Management for Acute Cerebral Vascular Syndrome (ACVS),,,,,,,,,,,,,,,,,,,,,,
A384,CONSULTATIONS AND VISITS,NEUROLOGY (18),Consultation and Management for Acute Cerebral Vascular Syndrome (ACVS),,,,,,,,,,,,,,,,,,,,,,
A385,CONSULTATIONS AND VISITS,NEUROLOGY (18),Extended special neurology consultation,,,,,,,,,,,,,,,,,,,,,,
A395,CONSULTATIONS AND VISITS,PSYCHIATRY (19),Neurodevelopmental consultation,,,,,,,,,,,,,,,,,,,,,,
A400,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),Comprehensive community medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A405,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE (05),Comprehensive community medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A411,CONSULTATIONS AND VISITS,GASTROENTEROLOGY (41),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A413,CONSULTATIONS AND VISITS,GASTROENTEROLOGY (41),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A414,CONSULTATIONS AND VISITS,GASTROENTEROLOGY (41),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A415,CONSULTATIONS AND VISITS,GASTROENTEROLOGY (41),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A416,CONSULTATIONS AND VISITS,GASTROENTEROLOGY (41),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A418,CONSULTATIONS AND VISITS,GASTROENTEROLOGY (41),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A425,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),Comprehensive physical medicine and rehabilitation consultation,,,,,,,,,,,,,,,,,,,,,,
A435,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE (13),Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,
A441,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY (44),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A443,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY (44),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A444,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY (44),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A445,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY (44),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A446,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY (44),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A448,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY (44),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
