Billing Code,Category,Sub Category,Sub Category 2,Description,Charge $(provider),Charge T,Charge P,Charge P1,Charge(H)
A025,CONSULTATIONS AND VISITS,DERMATOLOGY (02),,Consultation,72.15,,,,
A026,CONSULTATIONS AND VISITS,DERMATOLOGY (02),,Repeat consultation,44.45,,,,
A027,,,," Consultation in association with special visit to a hospital i n
patient,  long-term  care  in-patient  or  emergency department  
patient",147.3,,,,
A033,,,,Specific assessment,47.3,,,,
A034,,,,Partial a ssessment,28.6,,,,
A035,,,,Consultation,96.2,,,,
A036,,,,Repeat consultation,64.1,,,,
A043,,,,Specific assessment,58.25,,,,
A044,,,,Partial assessment,30,,,,
A045,,,,Consultation,130.75,,,,
A046,,,,Repeat consultation,58.25,,,,
A050,,,,Special community medicine consultation,144.75,,,,
A051,,,,Complex medical specific re-assessment,70.9,,,,
A053,,,,Medical specific assessment,79.85,,,,
A054,,,,Medical specific re-assessment,61.25,,,,
A055,,,,Consultation,125.6,,,,
A056,,,,Repeat consultation,84.2,,,,
A058,,,, Partial assessment ,38.05,,,,
A063,,,,Specific assessment,42.55,,,,
A064,,,,Partial assessment,24.25,,,,
A065,,,,Consultation,83.85,,,,
A066,,,,Repeat consultation,51.7,,,,
A070,,,,"Consultation in association with special visit to a hospital 
in-patient, long-term care in-patient or emergency 
department patient",232.1,,,,
A071,,,,Complex medical specific re-assessment,91.9,,,,
A073,,,,Medical specific assessment,90.45,,,,
A074,,,,Medical specific re-assessment,72.9,,,,
A075,,,,Consultation,202.55,,,,
A076,,,,Repeat consultation,105.25,,,,
A078,,,,Partial assessment,45.3,,,,
A083,,,,Specific assessment,46.8,,,,
A084,,,,Partial assessment,29.9,,,,
A085,,,,Consultation,91.35,,,,
A086,,,,Repeat consultation,54,,,,
A093,,,,Specific assessment,46.4,,,,
A094,,,,Partial assessment,25.3,,,,
A095,,,,Consultation,94.3,,,,
A096,,,,Repeat consultation,62.65,,,,
A100,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,"General/Family physician emergency department assessment		",76.9,,,,
A101,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,Limited Virtual Care by Video,20,,,,
A102,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,Limited Virtual Care by Telephone,15,,,,
A110,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,aged 19 years and below,48.9,,,,
A111,,,,Complex medical sp ecific re-assessment,76.3,,,,
A112,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,aged 65 years and above,48.9,,,,
A113,,,,Complex neuromuscular assessment,93.95,,,,
A114,,,,Medical specific re-assessment,65.9,,,,
A115,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Major eye examination,51.1,,,,
A116,,,,Repeat consultation,108.95,,,,
A118,,,,Partial assessment,39.6,,,,
A120,,,,Colonoscopy assessment,18.85,,,,
A130,,,,Comprehensive internal medicine consultation,310.45,,,,
A131,,,,Complex medical specific re-assessment,70.9,,,,
A133,,,,Medical specific assessment,81.55,,,,
A134,,,,Medical specific re-assessment,61.25,,,,
A135,,,,Consultation,164.9,,,,
A136,,,,Repeat consultation,105.25,,,,
A138,,,,Partial assessment ,38.05,,,,
A150,,,,Comprehensive endocrinology consultation,310.45,,,,
A151,,,,Complex medical specific re-assessment,74.8,,,,
A153,,,,Medical specific assessment,84.6,,,,
A154,,,,,62.85,,,,
A155,,,,Consultation,165.3,,,,
A156,,,,Repeat consultation,105.25,,,,
A158,,,,,39.1,,,,
A160,,,,Comprehensive nephrology consultation,310.45,,,,
A161,,,,Complex medical specific re-assessment,71.85,,,,
A163,,,,Medical specific assessment,80.95,,,,
A164,,,,,62.1,,,,
A165,,,,Consultation,162.9,,,,
A166,,,,Repeat consultation,105.25,,,,
A168,,,,,38.55,,,,
A173,,,,Specific assessment,44.4,,,,
A174,,,,Partial assessment,24.1,,,,
A175,,,,Consultation,107.45,,,,
A176,,,,Repeat consultation,60,,,,
A180,,,,Special neurology consultation,310.45,,,,
A181,,,,,75.2,,,,
A183,,,,,82.4,,,,
A184,,,,,64.95,,,,
A185,,,,Consultation,184.4,,,,
A186,,,,Repeat consultation,87.7,,,,
A188,,,,,39.4,,,,
A190,,,,Special psychiatric consultation,310.45,,,,
A191,,,,,237.45,,,,
A192,,,,,237.45,,,,
A193,,,,Specific assessment,86.35,,,,
A194,,,,,41.15,,,,
A195,,,,Consultation,222.5,,,,
A196,,,,Repeat consultation,105.25,,,,
A197,,,,,237.45,,,,
A198,,,,,237.45,,,,
A203,,,,Specific assessment*,52.15,,,,
A204,,,,Partial assessment,33.7,,,,
A205,,,,Consultation*,111.7,,,,
A206,,,,Repeat consultation*,59.45,,,,
A210,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Special anaesthetic consultation,163.2,,,,
A215,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,,69.75,,,,
A220,,,,,310.45,,,,
A221,,,,,38.05,,,,
A223,,,,,401.3,,,,
A225,,,,,167.9,,,,
A226,,,,,105.25,,,,
A230,,,,,25,,,,
A231,,,,Neuro-ophthalmology consultation,148.5,,,,
A233,,,,Specific assessment,57.7,,,,
A234,,,,,30.5,,,,
A235,,,,Consultation,82.4,,,,
A236,,,,Repeat consultation,45.85,,,,
A237,,,,,56.6,,,,
A239,,,,,56.6,,,,
A243,,,,Specific assessment,43.2,,,,
A244,,,,Partial assessment,27,,,,
A245,,,,Consultation,83.95,,,,
A246,,,,Repeat consultation,48.6,,,,
A250,,,,Retinopathy of prematurity assessment,120,,,,
A251,,,,Special ophthalmologic assessment,120,,,,
A252,,,,Initial vision rehabilitation assessment,240,,,,
A253,,,,Optometrist-Requested Assessment (ORA),82.4,,,,
A254,,,,Follow-up vision rehabilitation assessment,120,,,,
A255,,,,Limited consultation,105.25,,,,
A256,,,,Special optometrist-requested assessment,163.2,,,,
A260,,,,Special paediatric consultation,310.45,,,,
A261,,,,Level 1 - Paediatric assessment,21.5,,,,
A262,,,,,43.45,,,,
A263,,,,Medical specific assessment,82.9,,,,
A264,,,,,61.25,,,,
A265,,,,Consultation,181.45,,,,
A266,,,,Repeat consultation,91.35,,,,
A268,,,,,64.3,,,,
A275,,,,Limited consultation,105.25,,,,
A283,,,,,82.5,,,,
A284,,,,Partial assessment,38.85,,,,
A285,,,,Consultation,163,,,,
A286,,,,Limited consultation,108.95,,,,
A310,,,,,67.8,,,,
A311,,,,Complex medical specific re-assessment,73.95,,,,
A313,,,,Medical specific assessment,77.2,,,,
A315,,,,Consultation,197.3,,,,
A316,,,,Repeat consultation,95.25,,,,
A318,,,,,39.7,,,,
A325,,,,,105.25,,,,
A330,,,,Radiology second opinion of CT study,89.5,,,,
A331,,,,Minor assessment,17.75,,,,
A332,,,,Radiology second opinion of MRI study,199.7,,,,
A335,,,,Consultation,50,,,,
A338,,,,Minor assessment,17.75,,,,
A340,,,,,61.7,,,,
A341,,,,Complex medical specific re-assessment,71.4,,,,
A343,,,,Medical specific assessment,80.4,,,,
A345,,,,Consultation,158.05,,,,
A346,,,,Repeat consultation,102.9,,,,
A348,,,,,37.55,,,,
A353,,,,Specific assessment*,46.8,,,,
A354,,,,Partial assessment,27.8,,,,
A355,,,,Consultation*,84.7,,,,
A356,,,,Repeat consultation*,59,,,,
A365,,,,Special interventional radiological consultation,223.2,,,,
A375,,,,Limited consultation,105.25,,,,
A384,,,,,200,,,,
A385,,,,Limited consultation,87.7,,,,
A395,,,,Limited consultation,105.25,,,,
A400,,,,Comprehensive community medicine consultation,240.55,,,,
A405,,,,Limited consultation,84.2,,,,
A411,,,,,70.9,,,,
A413,,,,,80.35,,,,
A414,,,,,61.25,,,,
A415,,,,Consultation,157,,,,
A416,,,,Repeat consultation,105.25,,,,
A418,,,,,38.05,,,,
A425,,,,,310.45,,,,
A435,,,,Limited consultation,105.25,,,,
A441,,,,Complex medical specific re-assessment,70.9,,,,
A443,,,,Medical specific assessment,79.85,,,,
A444,,,,,61.25,,,,
A445,,,,Consultation,166.5,,,,
A446,,,,Repeat consultation,105.25,,,,
A448,,,,,38.05,,,,
A460,,,,Comprehensive infectious disease consultation,310.45,,,,
A461,,,,Complex medical specific re-assessment,83.85,,,,
A463,,,,Medical specific assessment,94.4,,,,
A464,,,,,72.45,,,,
A465,,,,Consultation,181.65,,,,
A466,,,,Repeat consultation,109.4,,,,
A468,,,,,45,,,,
A470,,,,Comprehensive respiratory disease consultation,310.45,,,,
A471,,,,Complex medical specific re-assessment,76.3,,,,
A473,,,,Medical specific assessment,87.6,,,,
A474,,,,,65.9,,,,
A475,,,,Consultation,175.55,,,,
A476,,,,Repeat consultation,108.95,,,,
A478,,,,,39.6,,,,
A480,,,,Complex rheumatology assessment,93.75,,,,
A481,,,,Complex medical specific re-assessment,73.8,,,,
A483,,,,Medical specific assessment,83.1,,,,
A484,,,,,63.7,,,,
A485,,,,Consultation,177.8,,,,
A486,,,,Repeat consultation,109.9,,,,
A488,,,,,39.25,,,,
A510,,,,Complex neuromuscular assessment,93.7,,,,
A511,,,,Complex physiatry assessment,102.55,,,,
A515,,,,Limited consultation,95.25,,,,
A525,,,,Limited consultation,105.25,,,,
A545,,,,Limited consultation,105.25,,,,
A565,,,,Limited consultation,91.35,,,,
A570,,,,Complex respiratory assessment,93,,,,
A575,,,,Limited consultation,108.95,,,,
A585,,,,Diagnostic consultation,73.3,,,,
A586,,,,Repeat consultation,71.2,,,,
A590,,,,Comprehensive rheumatology consultation,310.45,,,,
A595,,,,Limited consultation,109.35,,,,
A600,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Comprehensive cardiology consultation,310.45,,,,
A601,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Complex medical specific re-assessment,70.9,,,,
A603,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Medical specific assessment,81.55,,,,
A604,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Medical specific re-assessment,61.25,,,,
A605,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Consultation,161.65,,,,
A606,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Repeat consultation,105.25,,,,
A608,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Partial assessment,38.05,,,,
A611,,,,Complex medical specific re-assessment,76.2,,,,
A613,,,,Medical specific assessment,85.8,,,,
A614,,,,,65.85,,,,
A615,,,,Consultation,172,,,,
A616,,,,Repeat consultation,105.25,,,,
A618,,,,,38.05,,,,
A621,,,,Complex medical specific re-assessment,71.8,,,,
A623,,,,Medical specific assessment,80.9,,,,
A624,,,,Medical specific re-assessment,62.05,,,,
A625,,,,Consultation,159,,,,
A626,,,,Repeat consultation,105.25,,,,
A628,,,,Partial assessment,38.55,,,,
A631,,,,Minor assessment,17.75,,,,
A632,,,,Minor assessment,17.75,,,,
A633,,,,Specific assessment,60,,,,
A635,,,,Consultation,157,,,,
A636,,,,Repeat consultation,70,,,,
A638,,,,Partial assessment,40,,,,
A643,,,,Specific assessment,44.4,,,,
A644,,,,Partial assessment,24.1,,,,
A645,,,,Consultation,98.55,,,,
A646,,,,Repeat consultation,60,,,,
A655,,,,Limited consultation,105.25,,,,
A661,,,,Complex medical specific re-assessment,74.75,,,,
A662,,,,Extended special paediatric consultation,401.3,,,,
A665,,,,Prenatal consultation,100.55,,,,
A667,,,,Neurodevelopmental consultation,401.3,,,,
A675,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Limited consultation,105.25,,,,
A680,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Initial assessment - substance abuse,144.75,,,,
A682,,,,Extended special neurology consultation,401.3,,,,
A695,,,,Neurodevelopmental consultation,414.35,,,,
A710,,,,Comprehensive critical care medicine consultation,310.45,,,,
A713,,,,,87.6,,,,
A715,,,,Consultation,175.55,,,,
A735,,,,Diagnostic consultation,67.4,,,,
A745,,,,Limited consultation,102.9,,,,
A760,,,,Complex endocrine neoplastic disease assessment,90.75,,,,
A765,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Consultation,165.5,,,,
A770,,,,Extended comprehensive geriatric consultation,401.3,,,,
A771,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Certification of death,20.6,,,,
A772,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Certification of stillbirth,20.6,,,,
A775,,,,Comprehensive geriatric consultation,310.45,,,,
A777,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,37.95,,,,
A795,,,,Geriatric psychiatric consultation,310.45,,,,
A800,,,,,167.35,,,,
A801,,,,,300.7,,,,
A802,,,,,401.3,,,,
A813,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,111.7,,,,
A814,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,,111.7,,,,
A815,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,186.95,,,,
A816,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,,106.8,,,,
A817,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,,186.95,,,,
A818,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,,106.8,,,,
A835,,,,Comprehensive nuclear medicine consultation,310.45,,,,
A845,,,,Limited consultation,105.25,,,,
A865,,,,Limited consultation,105.25,,,,
A888,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Emergency department equivalent - partial assessment,37.95,,,,
A895,,,,,259.9,,,,
A900,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Complex house call assessment,54.5,,,,
A902,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,54.5,,,,
A905,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Limited consultation,73.25,,,,
A906,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,GP focused practice limited consultation by Video,73.25,,,,
A911,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Special family and general practice consultation,150.7,,,,
A912,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Comprehensive family and general practice consultation,226.05,,,,
A913,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,GP focused practice special consultation by Video,150.7,,,,
A914,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,GP focused practice comprehensive consultation by Video,226.05,,,,
A915,,,,Limited consultation,108.95,,,,
A917,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Sport medicine FPA,37.95,,,,
A920,,,,Medical management of early pregnancy - initial service,161.15,,,,
A921,,,,,36.85,,,,
A922,,,,Medical management of ectopic pregnancy - initial service,207.8,,,,
A927,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Allergy FPA,37.95,,,,
A930,,,,Uveitis and ocular inflammatory diseases consultation,150,,,,
A933,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,On-call admission assessment,79.9,,,,
A935,,,,,163.2,,,,
A937,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Pain management FPA,37.95,,,,
A945,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Special palliative care consultation,159.2,,,,
A947,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Sleep medicine FPA,37.95,,,,
A957,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Addiction medicine FPA,37.95,,,,
A960,,,,,36.4,,,,
A962,,,,,36.4,,,,
A963,,,,,36.4,,,,
A964,,,,,36.4,,,,
A967,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Care of the elderly FPA,37.95,,,,
A990,,,,,20,,,,
A994,,,,,60,,,,
A996,,,,,100,,,,
A998,,,,,75,,,,
B960,,,,,36.4,,,,
B961,,,,,36.4,,,,
B962,,,,,36.4,,,,
B963,,,,,36.4,,,,
B964,,,,,36.4,,,,
B966,,,,,36.4,,,,
B986,,,,,36.4,,,,
B987,,,,,110,,,,
B988,,,,,82.5,,,,
B990,,,,,27.5,,,,
B992,,,,,44,,,,
B993,,,,,82.5,,,,
B994,,,,,66,,,,
B996,,,,,110,,,,
B997,,,,,110,,,,
B998,,,,,82.5,,,,
C002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
C003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,87.35,,,,
C004,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,General re-assessment,38.35,,,,
C005,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Consultation,87.9,,,,
C006,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Repeat consultation,45.9,,,,
C007,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
C008,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Concurrent care,34.1,,,,
C009,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
C010,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Supportive care,34.1,,,,
C012,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,,31,,,,
C013,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Specific assessment,64.65,,,,
C014,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Specific re-assessment,28,,,,
C015,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Consultation - subject to the same conditions as A015,109.7,,,,
C016,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Repeat consultation,52.15,,,,
C017,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,,31,,,,
C018,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Concurrent care,31,,,,
C019,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,,31,,,,
C020,,,,,60,,,,
C022,,,,,34.1,,,,
C023,,,,Specific assessment,43,,,,
C024,,,,Specific re-assessment,25.4,,,,
C025,,,,Consultation,147.3,,,,
C026,,,,Repeat consultation,44.45,,,,
C027,,,,,34.1,,,,
C028,,,,Concurrent care,34.1,,,,
C029,,,,,34.1,,,,
C032,,,,,34.1,,,,
C033,,,,Specific assessment,47.3,,,,
C034,,,,Specific re-assessment,30.8,,,,
C035,,,,Consultation,96.2,,,,
C036,,,,Repeat consultation,64.1,,,,
C037,,,,,34.1,,,,
C038,,,,Concurrent care,34.1,,,,
C039,,,,,34.1,,,,
C042,,,,,31,,,,
C043,,,,Specific assessment,58.25,,,,
C044,,,,Specific re-assessment,30,,,,
C045,,,,Consultation,130.75,,,,
C046,,,,Repeat consultation,58.25,,,,
C047,,,,,31,,,,
C048,,,,Concurrent care,31,,,,
C049,,,,,31,,,,
C050,,,,,144.75,,,,
C051,,,,,70.9,,,,
C052,,,,,34.1,,,,
C053,,,,,79.85,,,,
C054,,,,,61.25,,,,
C055,,,,Consultation,125.6,,,,
C056,,,,Repeat consultation,84.2,,,,
C057,,,,,34.1,,,,
C058,,,,Concurrent care,34.1,,,,
C059,,,,,34.1,,,,
C062,,,,,31,,,,
C063,,,,Specific assessment,42.55,,,,
C064,,,,Specific re-assessment,25.5,,,,
C065,,,,Consultation,83.85,,,,
C066,,,,Repeat consultation,51.7,,,,
C067,,,,,31,,,,
C068,,,,Concurrent care,31,,,,
C069,,,,,31,,,,
C071,,,,Complex medical specific re-assessment,91.9,,,,
C072,,,,,34.1,,,,
C073,,,,Medical specific assessment,90.45,,,,
C074,,,,,72.9,,,,
C075,,,,Consultation,232.1,,,,
C076,,,,Repeat consultation,105.25,,,,
C077,,,,,34.1,,,,
C078,,,,Concurrent care,34.1,,,,
C079,,,,,34.1,,,,
C082,,,,,31,,,,
C083,,,,Specific assessment,46.8,,,,
C084,,,,Specific re-assessment,30,,,,
C085,,,,Consultation,91.35,,,,
C086,,,,Repeat consultation,54,,,,
C087,,,,,31,,,,
C088,,,,Concurrent care,31,,,,
C089,,,,,31,,,,
C092,,,,,31,,,,
C093,,,,Specific assessment,46.4,,,,
C094,,,,Specific re-assessment,27.25,,,,
C095,,,,Consultation,94.3,,,,
C096,,,,Repeat consultation,62.65,,,,
C097,,,,,31,,,,
C098,,,,Concurrent care,31,,,,
C099,,,,,31,,,,
C101,,,,,9.1,,,,
C102,,,,,36.4,,,,
C103,,,,,36.4,,,,
C104,,,,,36.4,,,,
C105,,,,,60,,,,
C106,,,,,75,,,,
C107,,,,,100,,,,
C108,,,,,75,,,,
C109,,,,,60,,,,
C110,,,,,100,,,,
C111,,,,Complex medical specific re-assessment,76.3,,,,
C112,,,,,34.1,,,,
C113,,,,,93.95,,,,
C114,,,,,65.9,,,,
C116,,,,Repeat consultation,108.95,,,,
C117,,,,,34.1,,,,
C118,,,,Concurrent care,34.1,,,,
C119,,,,,34.1,,,,
C121,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,34.1,,,,
C122,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,61.15,,,,
C123,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,61.15,,,,
C124,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,61.15,,,,
C130,,,,,310.45,,,,
C131,,,,Complex medical specific re-assessment,70.9,,,,
C132,,,,,34.1,,,,
C133,,,,Medical specific assessment,81.55,,,,
C134,,,,,61.25,,,,
C135,,,,Consultation,164.9,,,,
C136,,,,Repeat consultation,105.25,,,,
C137,,,,,34.1,,,,
C138,,,,Concurrent care,34.1,,,,
C139,,,,,34.1,,,,
C142,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,61.15,,,,
C143,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,61.15,,,,
C150,,,,,310.45,,,,
C151,,,,Complex medical specific re-assessment,74.8,,,,
C152,,,,,34.1,,,,
C153,,,,Medical specific assessment,84.6,,,,
C154,,,,,62.85,,,,
C155,,,,Consultation,165.3,,,,
C156,,,,Repeat consultation,105.25,,,,
C157,,,,,34.1,,,,
C158,,,,Concurrent care,34.1,,,,
C159,,,,,34.1,,,,
C160,,,,,310.45,,,,
C161,,,,Complex medical specific re-assessment,71.85,,,,
C162,,,,,34.1,,,,
C163,,,,Medical specific assessment,80.95,,,,
C164,,,,,62.1,,,,
C165,,,,Consultation,162.9,,,,
C166,,,,Repeat consultation,105.25,,,,
C167,,,,,34.1,,,,
C168,,,,Concurrent care,34.1,,,,
C169,,,,,34.1,,,,
C172,,,,,31,,,,
C173,,,,Specific assessment,44.4,,,,
C174,,,,Specific re-assessment,25.95,,,,
C175,,,,Consultation,107.45,,,,
C176,,,,Repeat consultation,60,,,,
C177,,,,,31,,,,
C178,,,,Concurrent care,31,,,,
C179,,,,,31,,,,
C180,,,,,310.45,,,,
C181,,,,Complex medical specific re-assessment,75.2,,,,
C182,,,,,34.1,,,,
C183,,,,Medical specific assessment,82.4,,,,
C184,,,,,64.95,,,,
C185,,,,Consultation,184.4,,,,
C186,,,,Repeat consultation,87.7,,,,
C187,,,,,34.1,,,,
C188,,,,Concurrent care,34.1,,,,
C189,,,,,34.1,,,,
C190,,,,,310.45,,,,
C192,,,,,34.1,,,,
C193,,,,Specific assessment,86.35,,,,
C194,,,,Specific re-assessment,66.25,,,,
C196,,,,Repeat consultation,105.25,,,,
C197,,,,,34.1,,,,
C198,,,,Concurrent care,34.1,,,,
C199,,,,,34.1,,,,
C202,,,,,31,,,,
C203,,,,Specific assessment*,52.15,,,,
C204,,,,Specific re-assessment*,36.85,,,,
C205,,,,Consultation*,111.7,,,,
C206,,,,Repeat consultation*,59.45,,,,
C207,,,,,31,,,,
C208,,,,Concurrent care,31,,,,
C209,,,,,31,,,,
C210,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,,163.2,,,,
C215,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,,69.75,,,,
C220,,,,,310.45,,,,
C222,,,,,34.1,,,,
C223,,,,,401.3,,,,
C225,,,,Consultation*,167.9,,,,
C226,,,,Repeat consultation,105.25,,,,
C227,,,,,34.1,,,,
C229,,,,,34.1,,,,
C231,,,,,148.5,,,,
C232,,,,,31,,,,
C233,,,,Specific assessment,57.7,,,,
C234,,,,Specific re-assessment,29.35,,,,
C235,,,,Consultation,82.4,,,,
C236,,,,Repeat consultation,45.85,,,,
C237,,,,,31,,,,
C238,,,,Concurrent care,31,,,,
C239,,,,,31,,,,
C242,,,,,31,,,,
C243,,,,Specific assessment,43.2,,,,
C244,,,,Specific re-assessment,27.5,,,,
C245,,,,Consultation,83.95,,,,
C246,,,,Repeat consultation,48.6,,,,
C247,,,,,31,,,,
C248,,,,Concurrent care,31,,,,
C249,,,,,31,,,,
C250,,,,,120,,,,
C255,,,,Limited consultation,105.25,,,,
C260,,,,,310.45,,,,
C262,,,,,34.1,,,,
C263,,,,,82.9,,,,
C264,,,,Medical specific re-assessment,61.25,,,,
C265,,,,Consultation,181.45,,,,
C266,,,,Repeat consultation,91.35,,,,
C268,,,,Concurrent care,34.1,,,,
C275,,,,Limited consultation,105.25,,,,
