CODE,Cat1,Cat2,Cat3,Cat4,Description,$,T,P,P1
A223,CONSULTATIONS AND VISITS,GENETICS(22),Extended special genetic consultation,,,401.3,,,
A225,CONSULTATIONS AND VISITS,GENETICS(22),GENERAL LISTINGS,,,167.9,,,
A226,CONSULTATIONS AND VISITS,GENETICS(22),Extended special genetic consultation,,,105.25,,,
A230,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Orthoptic assessment,,,25,,,
A231,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,148.5,,,
A233,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Subsequent visits,,,57.7,,,
A234,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,30.5,,,
A235,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,82.4,,,
A236,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,45.85,,,
A237,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Subsequent visits,,,56.6,,,
A239,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Subsequent visits,,,56.6,,,
A243,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),GENERAL LISTINGS,,,43.2,,,
A244,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),GENERAL LISTINGS,,,27,,,
A245,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),GENERAL LISTINGS,,,83.95,,,
A246,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),GENERAL LISTINGS,,,48.6,,,
A250,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Retinopathy of prematurity (ROP) assessment,,,120,,,
A251,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Special ophthalmologic assessment,,,120,,,
A252,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Initial vision rehabilitation assessment,,,240,,,
A253,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Optometrist-requested assessment (ORA),,,82.4,,,
A254,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Follow-up vision rehabilitation assessment,,,120,,,
A255,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),Comprehensive endocrinology consultation,,,105.25,,,
A256,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Special optometrist-requested assessment,,,163.2,,,
A260,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Special paediatric consultation,,,310.45,,,
A261,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Prenatal consultation,,,21.5,,,
A262,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Prenatal consultation,,,43.45,,,
A263,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Prenatal consultation,,,82.9,,,
A264,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Prenatal consultation,,,61.25,,,
A265,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Prenatal consultation,,,181.45,,,
A266,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Prenatal consultation,,,91.35,,,
A268,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Prenatal consultation,,,64.3,,,
A275,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),Comprehensive infectious disease consultation,,,105.25,,,
A283,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,,,82.5,,,
A284,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,,,38.85,,,
A285,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,,,163,,,
A286,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,,,108.95,,,
A310,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Comprehensive physical medicine and rehabilitation consultation,,,67.8,,,
A311,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Comprehensive physical medicine and rehabilitation consultation,,,73.95,,,
A313,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Comprehensive physical medicine and rehabilitation consultation,,,77.2,,,
A315,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Comprehensive physical medicine and rehabilitation consultation,,,197.3,,,
A316,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Comprehensive physical medicine and rehabilitation consultation,,,95.25,,,
A318,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Comprehensive physical medicine and rehabilitation consultation,,,39.7,,,
A325,CONSULTATIONS AND VISITS,GENETICS(22),Extended special genetic consultation,,,105.25,,,
A330,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),Radiology second opinion of CT or MRI Study,,,89.5,,,
A331,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),Minor assessment,,,17.75,,,
A332,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),Radiology second opinion of CT or MRI Study,,,199.7,,,
A335,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,,,50,,,
A338,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),Minor assessment,,,17.75,,,
A340,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,,,61.7,,,
A341,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,,,71.4,,,
A343,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,,,80.4,,,
A345,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,,,158.05,,,
A346,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,,,102.9,,,
A348,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),GENERAL LISTINGS,,,37.55,,,
A353,CONSULTATIONS AND VISITS,UROLOGY(35),GENERAL LISTINGS,,,46.8,,,
A354,CONSULTATIONS AND VISITS,UROLOGY(35),GENERAL LISTINGS,,,27.8,,,
A355,CONSULTATIONS AND VISITS,UROLOGY(35),GENERAL LISTINGS,,,84.7,,,
A356,CONSULTATIONS AND VISITS,UROLOGY(35),GENERAL LISTINGS,,,59,,,
A365,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),Special interventional radiological consultation,,,223.2,,,
A375,CONSULTATIONS AND VISITS,GERIATRICS(07),Consultation and Management for Acute Cerebral Vascular Syndrome (ACVS),,,105.25,,,
A384,CONSULTATIONS AND VISITS,NEUROLOGY(18),Consultation and Management for Acute Cerebral Vascular Syndrome (ACVS),,,200,,,
A385,CONSULTATIONS AND VISITS,NEUROLOGY(18),Extended special neurology consultation,,,87.7,,,
A395,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Neurodevelopmental consultation,,,105.25,,,
A400,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),Comprehensive community medicine consultation,,,240.55,,,
A405,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),Comprehensive community medicine consultation,,,84.2,,,
A411,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,,,70.9,,,
A413,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,,,80.35,,,
A414,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,,,61.25,,,
A415,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,,,157,,,
A416,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,,,105.25,,,
A418,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,,,38.05,,,
A425,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Comprehensive physical medicine and rehabilitation consultation,,,310.45,,,
A435,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),Comprehensive internal medicine consultation,,,105.25,,,
A441,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY(44),GENERAL LISTINGS,,,70.9,,,
A443,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY(44),GENERAL LISTINGS,,,79.85,,,
A444,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY(44),GENERAL LISTINGS,,,61.25,,,
A445,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY(44),GENERAL LISTINGS,,,166.5,,,
A446,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY(44),GENERAL LISTINGS,,,105.25,,,
A448,CONSULTATIONS AND VISITS,MEDICAL ONCOLOGY(44),GENERAL LISTINGS,,,38.05,,,
A460,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),Comprehensive infectious disease consultation,,,310.45,,,
A461,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),Comprehensive infectious disease consultation,,,83.85,,,
A463,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),Comprehensive infectious disease consultation,,,94.4,,,
A464,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),Comprehensive infectious disease consultation,,,72.45,,,
A465,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),GENERAL LISTINGS,,,181.65,,,
A466,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),Comprehensive infectious disease consultation,,,109.4,,,
A468,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),Comprehensive infectious disease consultation,,,45,,,
A470,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),Comprehensive respiratory disease consultation,,,310.45,,,
A471,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),Comprehensive respiratory disease consultation,,,76.3,,,
A473,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),Comprehensive respiratory disease consultation,,,87.6,,,
A474,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),Comprehensive respiratory disease consultation,,,65.9,,,
A475,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),GENERAL LISTINGS,,,175.55,,,
A476,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),Comprehensive respiratory disease consultation,,,108.95,,,
A478,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),Comprehensive respiratory disease consultation,,,39.6,,,
A480,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),Complex rheumatology assessment,,,93.75,,,
A481,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),Comprehensive rheumatology consultation,,,73.8,,,
A483,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),Comprehensive rheumatology consultation,,,83.1,,,
A484,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),Comprehensive rheumatology consultation,,,63.7,,,
A485,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),GENERAL LISTINGS,,,177.8,,,
A486,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),Comprehensive rheumatology consultation,,,109.9,,,
A488,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),Comprehensive rheumatology consultation,,,39.25,,,
A510,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Complex neuromuscular assessment,,,93.7,,,
A511,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Complex physiatry assessment,,,102.55,,,
A515,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),Comprehensive physical medicine and rehabilitation consultation,,,95.25,,,
A525,CONSULTATIONS AND VISITS,CLINICAL IMMUNOLOGY(62),GENERAL LISTINGS,,,105.25,,,
A545,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,,,105.25,,,
A565,CONSULTATIONS AND VISITS,PAEDIATRICS(26),Prenatal consultation,,,91.35,,,
A570,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),Complex respiratory assessment,,,93,,,
A575,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),Comprehensive respiratory disease consultation,,,108.95,,,
A585,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),Diagnostic consultation,,,73.3,,,
A586,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),GENERAL LISTINGS,,,71.2,,,
A590,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),Comprehensive rheumatology consultation,,,310.45,,,
A595,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),,,,109.35,,,
A600,CONSULTATIONS AND VISITS,CARDIOLOGY(60),,,,310.45,,,
A601,CONSULTATIONS AND VISITS,CARDIOLOGY(60),,,,70.9,,,
A603,CONSULTATIONS AND VISITS,CARDIOLOGY(60),,,,81.55,,,
A604,CONSULTATIONS AND VISITS,CARDIOLOGY(60),,,,61.25,,,
A605,CONSULTATIONS AND VISITS,CARDIOLOGY(60),,,,161.65,,,
A606,CONSULTATIONS AND VISITS,CARDIOLOGY(60),,,,105.25,,,
A608,CONSULTATIONS AND VISITS,CARDIOLOGY(60),,,,38.05,,,
A611,CONSULTATIONS AND VISITS,HAEMATOLOGY(61),,,,76.2,,,
A613,CONSULTATIONS AND VISITS,HAEMATOLOGY(61),,,,85.8,,,
A614,CONSULTATIONS AND VISITS,HAEMATOLOGY(61),,,,65.85,,,
A615,CONSULTATIONS AND VISITS,HAEMATOLOGY(61),,,,172,,,
A616,CONSULTATIONS AND VISITS,HAEMATOLOGY(61),,,,105.25,,,
A618,CONSULTATIONS AND VISITS,HAEMATOLOGY(61),,,,38.05,,,
A621,CONSULTATIONS AND VISITS,CLINICAL IMMUNOLOGY(62),,,,71.8,,,
A623,CONSULTATIONS AND VISITS,CLINICAL IMMUNOLOGY(62),,,,80.9,,,
A624,CONSULTATIONS AND VISITS,CLINICAL IMMUNOLOGY(62),,,,62.05,,,
A625,CONSULTATIONS AND VISITS,CLINICAL IMMUNOLOGY(62),,,,159,,,
