code,name,description,fee,category,billing_constraints,page_number,section,notes
H123,Multiple systems assessment.................................................,Multiple systems assessment.................................................,68.0,Assessment,[],141,Note:,
H121,Minor assessment...................................................................,Minor assessment...................................................................,30.7,Assessment,[],141,Note:,
H100,Emergency department investigative ultrasound....................,Emergency department investigative ultrasound....................,19.65,Emergency,[],142,CONSULTATIONS AND VISITS,
W105,Consultation ............................................................................,Consultation ............................................................................,87.75,Consultation,[],143,CONSULTATIONS AND VISITS,
A911,..............................................,..............................................,150.7,Other,[],143,CONSULTATIONS AND VISITS,
A912,.............................,.............................,226.05,Other,[],143,CONSULTATIONS AND VISITS,
W106,Repeat consultation ................................................................,Repeat consultation ................................................................,45.9,Consultation,[],143,CONSULTATIONS AND VISITS,
W109,Periodic health visit .................................................................,Periodic health visit .................................................................,70.5,Other,[],143,CONSULTATIONS AND VISITS,
W004,may be claimed,may be claimed,6.0,Other,[],143,CONSULTATIONS AND VISITS,
K005,Individual care............................................................. per unit,Individual care............................................................. per unit,70.1,Other,[],145,CONSULTATIONS AND VISITS,
K040,combined per provider per,combined per provider per,12.0,Other,[],145,CONSULTATIONS AND VISITS,
K007,Individual care ............................................................ per unit,Individual care ............................................................ per unit,70.1,Other,[],148,Psychotherapy,
K623,Application for psychiatric assessment ..................................,Application for psychiatric assessment ..................................,117.05,Assessment,[],148,Psychotherapy,
K624,Certification of involuntary admission .....................................,Certification of involuntary admission .....................................,144.15,Other,[],148,Psychotherapy,
K708,"MCC Participant, per patient...................................................","MCC Participant, per patient...................................................",32.45,Other,[],153,CONSULTATIONS AND VISITS,
K709,"MCC Chairperson, per patient................................................","MCC Chairperson, per patient................................................",41.85,Other,[],153,CONSULTATIONS AND VISITS,
K710,"MCC Radiologist Participant, per patient................................","MCC Radiologist Participant, per patient................................",32.45,Other,[],153,CONSULTATIONS AND VISITS,
K711,are each limited to a maximum of,are each limited to a maximum of,5.0,Other,[],153,CONSULTATIONS AND VISITS,
K121,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],157,CONSULTATIONS AND VISITS,
K700,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],157,CONSULTATIONS AND VISITS,
K704,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],158,CONSULTATIONS AND VISITS,
K701,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],158,CONSULTATIONS AND VISITS,
K702,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],160,CONSULTATIONS AND VISITS,
K703,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],160,CONSULTATIONS AND VISITS,
K707,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],161,CONSULTATIONS AND VISITS,
K124,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],162,CONSULTATIONS AND VISITS,
K705,is limited to a maximum of,is limited to a maximum of,4.0,Other,[],162,CONSULTATIONS AND VISITS,
K706,Convalescent care program case conference ........................,Convalescent care program case conference ........................,32.45,Other,[],164,CONSULTATIONS AND VISITS,
K739,are each limited to a maximum of one,are each limited to a maximum of one,1.0,Other,[],171,CONSULTATIONS AND VISITS,
K739,is not eligible for payment to specialists in Dermatology,is not eligible for payment to specialists in Dermatology,2.0,Other,[],172,CONSULTATIONS AND VISITS,
K022,HIV primary care......................................................... per unit,HIV primary care......................................................... per unit,70.1,Other,[],173,CONSULTATIONS AND VISITS,
K023,Palliative care support ................................................ per unit,Palliative care support ................................................ per unit,74.7,Other,[],173,CONSULTATIONS AND VISITS,
C945,exceeds,exceeds,50.0,Other,[],174,CONSULTATIONS AND VISITS,
K016,Genetic assessment ................................................... per unit,Genetic assessment ................................................... per unit,74.05,Assessment,[],175,CONSULTATIONS AND VISITS,
K028,STD management ...................................................... per unit,STD management ...................................................... per unit,70.1,Other,[],175,CONSULTATIONS AND VISITS,
K030,Diabetic Management Assessment .......................................,Diabetic Management Assessment .......................................,40.55,Assessment,[],176,CONSULTATIONS AND VISITS,
Q040,Diabetes management incentive ............................................,Diabetes management incentive ............................................,60.0,Other,[],176,CONSULTATIONS AND VISITS,
E079,"Initial discussion with patient, to eligible services ............. add","Initial discussion with patient, to eligible services ............. add",15.55,Other,[],179,CONSULTATIONS AND VISITS,
K039,is limited to a maximum of two services in the,is limited to a maximum of two services in the,12.0,Other,[],179,CONSULTATIONS AND VISITS,
K026,Certification of Medical Eligibility for OHCAP .........................,Certification of Medical Eligibility for OHCAP .........................,54.7,Other,[],180,CONSULTATIONS AND VISITS,
K031,Completion of Form,Completion of Form,1.0,Other,[],180,CONSULTATIONS AND VISITS,
K032,Specific neurocognitive assessment.......................................,Specific neurocognitive assessment.......................................,70.1,Assessment,[],181,CONSULTATIONS AND VISITS,
K042,Extended specific neurocognitive assessment.......................,Extended specific neurocognitive assessment.......................,140.2,Assessment,[],181,CONSULTATIONS AND VISITS,
K070,Application ..............................................................................,Application ..............................................................................,31.75,Other,[],181,CONSULTATIONS AND VISITS,
K071,is limited to a maximum of one service per patient per physician per week for,is limited to a maximum of one service per patient per physician per week for,8.0,Other,[],182,CONSULTATIONS AND VISITS,
K072,is limited to a maximum of,is limited to a maximum of,2.0,Other,[],182,CONSULTATIONS AND VISITS,
K036,Completion of northern health travel grant application form...,Completion of northern health travel grant application form...,10.25,Other,[],183,CONSULTATIONS AND VISITS,
K399,Clinical interpretation by an immunologist ..............................,Clinical interpretation by an immunologist ..............................,29.05,Other,[],184,ALLERGY,
A680,is limited to one per patient per physician except in circumstances where a,is limited to one per patient per physician except in circumstances where a,12.0,Other,[],185,CONSULTATIONS AND VISITS,
A680,.............................................................,.............................................................,144.75,Other,[],186,CONSULTATIONS AND VISITS,
K682,is limited to a maximum of six services per patient per,is limited to a maximum of six services per patient per,12.0,Other,[],188,Definitions:,
A010,GP focused practice consultation by Video ............................,GP focused practice consultation by Video ............................,87.9,Consultation,[],196,GENERAL LISTINGS,
A011,GP focused practice repeat consultation by Video .................,GP focused practice repeat consultation by Video .................,45.9,Consultation,[],196,GENERAL LISTINGS,
A906,GP focused practice limited consultation by Video.................,GP focused practice limited consultation by Video.................,73.25,Consultation,[],196,GENERAL LISTINGS,
A913,GP focused practice special consultation by Video ................,GP focused practice special consultation by Video ................,150.7,Consultation,[],196,GENERAL LISTINGS,
A914,GP focused practice comprehensive consultation by Video...,GP focused practice comprehensive consultation by Video...,226.05,Consultation,[],196,GENERAL LISTINGS,
A101,Limited Virtual Care by Video .................................................,Limited Virtual Care by Video .................................................,20.0,Other,[],197,Limited Virtual Care Services,
A102,Limited Virtual Care by Telephone..........................................,Limited Virtual Care by Telephone..........................................,15.0,Other,[],197,Limited Virtual Care Services,
E060,Post renal transplant assessment,Post renal transplant assessment,25.0,Assessment,[],198,Premiums,
E078,Chronic Disease Assessment,Chronic Disease Assessment,50.0,Assessment,[],198,Premiums,
E088,Congestive heart failure premium,Congestive heart failure premium,50.0,Other,[],198,Premiums,
E098,Gastroenterology chronic disease,Gastroenterology chronic disease,28.0,Other,[],198,Premiums,
A015,Consultation............................................................................,Consultation............................................................................,109.7,Consultation,[],200,Consultation,
A016,Repeat consultation................................................................,Repeat consultation................................................................,52.15,Consultation,[],200,Consultation,
A210,Special anaesthetic consultation ............................................,Special anaesthetic consultation ............................................,163.2,Consultation,[],200,Consultation,
A013,Specific assessment...............................................................,Specific assessment...............................................................,64.65,Assessment,[],201,CONSULTATIONS AND VISITS,
A014,Partial assessment .................................................................,Partial assessment .................................................................,31.45,Assessment,[],201,CONSULTATIONS AND VISITS,
A015,..........,..........,109.7,Other,[],201,CONSULTATIONS AND VISITS,
C016,Repeat consultation................................................................,Repeat consultation................................................................,52.15,Consultation,[],201,CONSULTATIONS AND VISITS,
A210,..............................................................................,..............................................................................,163.2,Other,[],201,CONSULTATIONS AND VISITS,
A215,.............................................,.............................................,69.75,Other,[],201,CONSULTATIONS AND VISITS,
C013,Specific assessment...............................................................,Specific assessment...............................................................,64.65,Assessment,[],201,CONSULTATIONS AND VISITS,
A816,...................................................................................,...................................................................................,106.8,Other,[],201,CONSULTATIONS AND VISITS,
C018,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,31.0,Other,[],202,CONSULTATIONS AND VISITS,
A605,Consultation............................................................................,Consultation............................................................................,161.65,Consultation,[],203,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],203,GENERAL LISTINGS,
A600,Comprehensive cardiology consultation.................................,Comprehensive cardiology consultation.................................,310.45,Consultation,[],203,GENERAL LISTINGS,
A675,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],203,GENERAL LISTINGS,
A606,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],203,GENERAL LISTINGS,
A603,Medical specific assessment ..................................................,Medical specific assessment ..................................................,81.55,Assessment,[],203,GENERAL LISTINGS,
A608,Partial assessment .................................................................,Partial assessment .................................................................,38.05,Assessment,[],203,GENERAL LISTINGS,
E088,Congestive heart failure premium............................. add,Congestive heart failure premium............................. add,50.0,Other,[],203,GENERAL LISTINGS,
C605,Consultation............................................................................,Consultation............................................................................,161.65,Consultation,[],204,CONSULTATIONS AND VISITS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],204,CONSULTATIONS AND VISITS,
A600,.............................................................,.............................................................,310.45,Other,[],204,CONSULTATIONS AND VISITS,
C675,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],204,CONSULTATIONS AND VISITS,
C606,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],204,CONSULTATIONS AND VISITS,
C603,Medical specific assessment ..................................................,Medical specific assessment ..................................................,81.55,Assessment,[],204,CONSULTATIONS AND VISITS,
C608,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],204,CONSULTATIONS AND VISITS,
A095,Consultation............................................................................,Consultation............................................................................,94.3,Consultation,[],205,GENERAL LISTINGS,
A096,Repeat consultation................................................................,Repeat consultation................................................................,62.65,Consultation,[],205,GENERAL LISTINGS,
A093,Specific assessment...............................................................,Specific assessment...............................................................,46.4,Assessment,[],205,GENERAL LISTINGS,
A094,Partial assessment .................................................................,Partial assessment .................................................................,25.3,Assessment,[],205,GENERAL LISTINGS,
C095,Consultation............................................................................,Consultation............................................................................,94.3,Consultation,[],205,GENERAL LISTINGS,
C096,Repeat consultation................................................................,Repeat consultation................................................................,62.65,Consultation,[],205,GENERAL LISTINGS,
C093,Specific assessment...............................................................,Specific assessment...............................................................,46.4,Assessment,[],205,GENERAL LISTINGS,
C098,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,31.0,Other,[],205,GENERAL LISTINGS,
W095,Consultation............................................................................,Consultation............................................................................,94.3,Consultation,[],206,CONSULTATIONS AND VISITS,
W096,Repeat consultation................................................................,Repeat consultation................................................................,62.65,Consultation,[],206,CONSULTATIONS AND VISITS,
A625,Consultation............................................................................,Consultation............................................................................,159.0,Consultation,[],207,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],207,GENERAL LISTINGS,
A525,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],207,GENERAL LISTINGS,
A626,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],207,GENERAL LISTINGS,
A623,Medical specific assessment ..................................................,Medical specific assessment ..................................................,80.9,Assessment,[],207,GENERAL LISTINGS,
A628,Partial assessment .................................................................,Partial assessment .................................................................,38.55,Assessment,[],207,GENERAL LISTINGS,
C625,Consultation............................................................................,Consultation............................................................................,159.0,Consultation,[],207,GENERAL LISTINGS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],207,GENERAL LISTINGS,
C525,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],207,GENERAL LISTINGS,
C626,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],207,GENERAL LISTINGS,
C623,Medical specific assessment ..................................................,Medical specific assessment ..................................................,80.9,Assessment,[],207,GENERAL LISTINGS,
C628,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],208,CONSULTATIONS AND VISITS,
A055,Consultation............................................................................,Consultation............................................................................,125.6,Consultation,[],209,General Listings,
A050,Special community medicine consultation ..............................,Special community medicine consultation ..............................,144.75,Consultation,[],209,General Listings,
A400,Comprehensive community medicine consultation.................,Comprehensive community medicine consultation.................,240.55,Consultation,[],209,General Listings,
A405,Limited consultation ................................................................,Limited consultation ................................................................,84.2,Consultation,[],209,General Listings,
A056,Repeat consultation ................................................................,Repeat consultation ................................................................,84.2,Consultation,[],209,General Listings,
A053,Medical specific assessment ..................................................,Medical specific assessment ..................................................,79.85,Assessment,[],209,General Listings,
A058,Partial assessment .................................................................,Partial assessment .................................................................,38.05,Assessment,[],209,General Listings,
C055,Consultation............................................................................,Consultation............................................................................,125.6,Consultation,[],209,General Listings,
C405,Limited consultation ................................................................,Limited consultation ................................................................,84.2,Consultation,[],209,General Listings,
C056,Repeat consultation ................................................................,Repeat consultation ................................................................,84.2,Consultation,[],209,General Listings,
C053,Medical specific assessment ..................................................,Medical specific assessment ..................................................,79.85,Assessment,[],210,CONSULTATIONS AND VISITS,
C058,Concurrent care.......................................................... per visit,Concurrent care.......................................................... per visit,34.1,Other,[],211,CONSULTATIONS AND VISITS,
W055,Consultation ............................................................................,Consultation ............................................................................,125.6,Consultation,[],211,CONSULTATIONS AND VISITS,
A050,....................................................,....................................................,144.75,Other,[],211,CONSULTATIONS AND VISITS,
A400,..............................................,..............................................,240.55,Other,[],211,CONSULTATIONS AND VISITS,
W405,Limited consultation.................................................................,Limited consultation.................................................................,84.2,Consultation,[],211,CONSULTATIONS AND VISITS,
W056,Repeat consultation.................................................................,Repeat consultation.................................................................,84.2,Consultation,[],211,CONSULTATIONS AND VISITS,
W409,Periodic health visit .................................................................,Periodic health visit .................................................................,65.05,Other,[],211,CONSULTATIONS AND VISITS,
A715,Consultation............................................................................,Consultation............................................................................,175.55,Consultation,[],213,GENERAL LISTINGS,
A710,Comprehensive critical care medicine consultation................,Comprehensive critical care medicine consultation................,310.45,Consultation,[],213,GENERAL LISTINGS,
A915,Limited consultation................................................................,Limited consultation................................................................,108.95,Consultation,[],213,GENERAL LISTINGS,
A116,Repeat consultation................................................................,Repeat consultation................................................................,108.95,Consultation,[],213,GENERAL LISTINGS,
A713,Medical specific assessment ..................................................,Medical specific assessment ..................................................,87.6,Assessment,[],213,GENERAL LISTINGS,
A118,Partial assessment .................................................................,Partial assessment .................................................................,39.6,Assessment,[],213,GENERAL LISTINGS,
C715,Consultation............................................................................,Consultation............................................................................,175.55,Consultation,[],213,GENERAL LISTINGS,
C915,Limited consultation................................................................,Limited consultation................................................................,108.95,Consultation,[],213,GENERAL LISTINGS,
C116,Repeat consultation................................................................,Repeat consultation................................................................,108.95,Consultation,[],213,GENERAL LISTINGS,
C713,Medical specific assessment ..................................................,Medical specific assessment ..................................................,87.6,Assessment,[],213,GENERAL LISTINGS,
C118,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],214,CONSULTATIONS AND VISITS,
A025,Consultation............................................................................,Consultation............................................................................,72.15,Consultation,[],215,GENERAL LISTINGS,
A026,Repeat consultation................................................................,Repeat consultation................................................................,44.45,Consultation,[],215,GENERAL LISTINGS,
A023,Specific assessment...............................................................,Specific assessment...............................................................,43.0,Assessment,[],215,GENERAL LISTINGS,
A024,Partial assessment .................................................................,Partial assessment .................................................................,21.9,Assessment,[],215,GENERAL LISTINGS,
A021,Advanced Dermatology Consultation .....................................,Advanced Dermatology Consultation .....................................,164.9,Consultation,[],216,CONSULTATIONS AND VISITS,
A020,Complex dermatology assessment.........................................,Complex dermatology assessment.........................................,60.0,Assessment,[],217,CONSULTATIONS AND VISITS,
C025,Consultation............................................................................,Consultation............................................................................,147.3,Consultation,[],218,CONSULTATIONS AND VISITS,
C026,Repeat consultation................................................................,Repeat consultation................................................................,44.45,Consultation,[],218,CONSULTATIONS AND VISITS,
C023,Specific assessment...............................................................,Specific assessment...............................................................,43.0,Assessment,[],218,CONSULTATIONS AND VISITS,
A020,.............................................................,.............................................................,60.0,Other,[],218,CONSULTATIONS AND VISITS,
C028,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],218,CONSULTATIONS AND VISITS,
W025,Consultation............................................................................,Consultation............................................................................,147.3,Consultation,[],218,CONSULTATIONS AND VISITS,
W026,Repeat consultation................................................................,Repeat consultation................................................................,44.45,Consultation,[],218,CONSULTATIONS AND VISITS,
A155,Consultation............................................................................,Consultation............................................................................,165.3,Consultation,[],221,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],221,GENERAL LISTINGS,
A150,Comprehensive endocrinology consultation...........................,Comprehensive endocrinology consultation...........................,310.45,Consultation,[],221,GENERAL LISTINGS,
A255,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],221,GENERAL LISTINGS,
A156,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],221,GENERAL LISTINGS,
A153,Medical specific assessment ..................................................,Medical specific assessment ..................................................,84.6,Assessment,[],221,GENERAL LISTINGS,
A158,Partial assessment .................................................................,Partial assessment .................................................................,39.1,Assessment,[],221,GENERAL LISTINGS,
A760,Complex endocrine neoplastic disease assessment..............,Complex endocrine neoplastic disease assessment..............,90.75,Assessment,[],221,GENERAL LISTINGS,
K045,Diabetes management by a specialist....................................,Diabetes management by a specialist....................................,76.2,Other,[],222,DIABETES MANAGEMENT BY A SPECIALIST,
K046,Diabetes team management...................................................,Diabetes team management...................................................,115.0,Other,[],223,CONSULTATIONS AND VISITS,
K003,to the same patient in the,to the same patient in the,12.0,Other,[],223,CONSULTATIONS AND VISITS,
C155,Consultation............................................................................,Consultation............................................................................,165.3,Consultation,[],225,CONSULTATIONS AND VISITS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],225,CONSULTATIONS AND VISITS,
A150,...................................................,...................................................,310.45,Other,[],225,CONSULTATIONS AND VISITS,
C255,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],225,CONSULTATIONS AND VISITS,
C156,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],225,CONSULTATIONS AND VISITS,
C153,Medical specific assessment ..................................................,Medical specific assessment ..................................................,84.6,Assessment,[],225,CONSULTATIONS AND VISITS,
A760,.........................................,.........................................,90.75,Other,[],225,CONSULTATIONS AND VISITS,
C158,Concurrent care ......................................................... per visit,Concurrent care ......................................................... per visit,34.1,Other,[],225,CONSULTATIONS AND VISITS,
W155,Consultation............................................................................,Consultation............................................................................,165.3,Consultation,[],226,CONSULTATIONS AND VISITS,
W765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],226,CONSULTATIONS AND VISITS,
W255,Limited consultation ................................................................,Limited consultation ................................................................,105.25,Consultation,[],226,CONSULTATIONS AND VISITS,
W156,Repeat consultation ................................................................,Repeat consultation ................................................................,105.25,Consultation,[],226,CONSULTATIONS AND VISITS,
W259,Periodic health visit.................................................................,Periodic health visit.................................................................,65.05,Other,[],226,CONSULTATIONS AND VISITS,
A415,Consultation............................................................................,Consultation............................................................................,157.0,Consultation,[],227,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],227,GENERAL LISTINGS,
A545,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],227,GENERAL LISTINGS,
A416,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],227,GENERAL LISTINGS,
A413,Medical specific assessment ..................................................,Medical specific assessment ..................................................,80.35,Assessment,[],227,GENERAL LISTINGS,
A418,Partial assessment .................................................................,Partial assessment .................................................................,38.05,Assessment,[],227,GENERAL LISTINGS,
A120,"Colonoscopy assessment, same day as colonoscopy ...........","Colonoscopy assessment, same day as colonoscopy ...........",18.85,Assessment,[],227,GENERAL LISTINGS,
C415,Consultation............................................................................,Consultation............................................................................,157.0,Consultation,[],228,CONSULTATIONS AND VISITS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],228,CONSULTATIONS AND VISITS,
C545,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],228,CONSULTATIONS AND VISITS,
C416,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],228,CONSULTATIONS AND VISITS,
C413,Medical specific assessment ..................................................,Medical specific assessment ..................................................,80.35,Assessment,[],228,CONSULTATIONS AND VISITS,
A100,February,February,14.0,Other,[],228,CONSULTATIONS AND VISITS,
C418,Concurrent care ......................................................... per visit,Concurrent care ......................................................... per visit,34.1,Other,[],229,CONSULTATIONS AND VISITS,
A101,Amd,Amd,12.0,Other,[],229,CONSULTATIONS AND VISITS,
A035,Consultation............................................................................,Consultation............................................................................,96.2,Consultation,[],230,GENERAL LISTINGS,
